"GDP per capita, current prices
Tanzania;398,213;462,384;515,824;513,729;454,85;399,694;492,451;236,583;221,861;181,658;138,792;157,932;140,479;125,671;129,715;147,749;179,54;211,07;303,01;363,109;378,494;378,881;383,7;399,475;425,476;450,395;481,665;541,793;671,868;683,856;725,765;765,333;869,991;969,148;1032,343;957,107;978,961;1034,225;1090,099;1158,072;1233,512;1310,933;1393,094;1480,717
Thailand;718,751;751,856;773,787;835,332;853,682;775,776;840,475;969,076;1159,092;1349,927;1571,257;1777,473;1999,967;2218,556;2494,739;2846,444;3046,665;2475,095;1855,12;2048,054;2028,077;1912,28;2115,383;2377,545;2676,296;2905,795;3378,831;3978,301;4379,527;4207,583;5065,376;5482,397;5850,273;6154,499;5932,999;5830,636;5970,316;6590,638;7084,471;7570,35;8011,426;8452,414;8907,35;9400,404
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;489,866;569,609;554,016;580,466;1132,771;1870,683;2687,664;2851,49;4246,847;3060,187;3782,707;5272,736;6052,99;5002,922;3494,848;2620,3;2079,628;2236,974;2485,877;2627,572;2699,944;2671,605;2692,786;2373,887
Togo;621,505;501,047;363,666;334,431;296,437;300,4;407,291;463,246;500,235;477,391;560,68;541,946;557,234;416,361;315,859;406,548;431,283;425,029;388,934;377,803;311,499;300,953;337,732;409,209;427,308;422,158;425,298;444,013;539,752;533,049;527,823;579,544;565,01;613,632;633,067;563,759;586,294;611,133;668,422;691,416;741,055;789,025;842,412;895,665
Tonga;802,903;886,55;878,894;853,099;890,429;836,907;999,884;1081,019;1264,565;1523,205;1578,512;1816,713;1868,532;1944,448;2103,954;2199,634;2410,489;2254,233;2012,456;2035,946;1965,571;1775,167;1908,075;2108,806;2454,269;2788,968;2889,027;3142,198;3337,897;3295,282;3788,677;4412,213;4442,354;4303,082;4277,608;4021,72;4249,137;4520,886;4650,282;4874,153;5163,345;5478,75;5735,451;5937,889
Trinidad and Tobago;5844,663;6451,064;7389,246;6935,75;6827,598;6407,753;4118,845;4083,147;3796,412;3623,428;4219,122;4390,015;4471,243;3741,17;4024,875;4319,496;4655,849;4629,726;4869,365;5475,183;6541,694;7042,209;7158,999;8927,638;10438,77;12467,75;14273,555;16807,873;21464,21;14801,21;16957,995;19320,961;19001,222;19925,122;20054,981;17834,476;16598,797;16637,65;16930,881;17491,336;18210,195;19182,136;20101,343;21226,967
Tunisia;1482,823;1390,485;1309,899;1322,84;1286,711;1271,883;1312,323;1382,353;1411,547;1386,088;1636,643;1687,19;1973,446;1814,879;1903,845;2156,454;2299,375;2210,819;2295,197;2388,994;2213,941;2254,92;2346,004;2762,059;3112,918;3194,48;3371,538;3778,36;4308,49;4131,023;4140,485;4256,837;4137,57;4198,848;4274,466;3827,641;3666,3;3464,717;3573,365;3587,933;3712,594;3882,046;4063,894;4271,276
Turkey;2168,666;2148,836;1901,376;1712,832;1627,694;1787,257;1928,024;2192,708;2346,711;2730,183;3747,082;3686,18;3817,294;4259,482;3024,163;3877,104;4095,582;4220,595;4387,308;4019,001;4218,859;3053,282;3589,386;4642,902;5952,828;7277,942;7898,993;9562,939;10691,762;8881,762;10475,567;11140,952;11552,693;12395,369;12022,18;10914,886;10817,389;10537,186;8715,513;7615,014;8868,359;10016,808;10645,49;11026,398
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;239,149;1335,633;1102,518;1394,427;554,283;614,767;647,355;861,861;1109,216;1514,431;1880,287;2443,634;3004,972;3596,234;4429,641;5312,927;4350,129;4036,459;4439,203;5649,978;6675,276;7304,421;7962,366;6432,669;6412,135;6642,523;7411,877;8073,28;8724,372;9484,971;10325,151;11258,823
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1661,535;1946,376;2255,915;2229,48;2324,759;2713,056;3053,405;2683,967;3059,159;3687,994;3541,906;3499,048;3459,462;3280,974;3362,05;3688,651;4096,248;4421,214;4783,672;5153,825;5534,254;5892,454
Uganda;512,2;804,731;541,848;601,022;447,813;396,289;381,127;592,632;591,643;462,395;363,928;183,801;166,503;190,45;266,865;309,747;309,377;326,722;310,18;285,563;273,964;268,065;278,964;278,825;331,993;372,282;406,739;488,914;604,626;628,759;662,223;669,297;752,877;770,183;772,586;662,164;670,37;706,502;717,496;746,593;801,676;830,881;899,969;944,499
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;427,863;677,261;740,97;752,339;914,348;1037,893;874,265;664,99;664,376;814,851;919,141;1096,291;1427,279;1909,798;2407,9;3219,884;4095,441;2654,986;2982,814;3589,632;3872,534;3968,797;3095,05;2135,182;2200,851;2656,01;2964,193;3133,196;3361,357;3618,556;3901,506;4202,48
United Arab Emirates;40014,582;40910,917;35767,654;31690,067;29017,094;27035,998;20533,019;21644,071;18435,195;20478,526;26621,511;25847,406;25960,965;25654,369;25762,53;26394,423;29058,859;29523,485;25897,653;27321,043;34688,979;32621,292;32790,711;35017,312;39304,507;43988,667;44313,586;41472,286;39074,838;30920,447;35064,255;41194,733;42723,581;43197,43;43340,018;37380,571;36226,239;37732,656;41476,301;42384,405;42888,88;43232,624;43581,224;44011,947
United Kingdom;10734,566;10429,255;9925,51;9456,7;8943,273;9491,989;11551,068;14294,994;17364,253;17617,847;20808,225;21671,879;22305,36;19925,662;21344,249;23026,709;24256,456;26647,953;28077,336;28435,056;28043,874;27510,331;29912,986;34302,415;40111,752;41842,698;44403,814;50315,557;47469,38;38601,319;39122,192;41649,659;42023,101;42981,253;47003,879;44494,861;40657,859;39800,274;42260,924;42035,942;43358,394;44639,336;46275,189;47887,715
United States;12552,943;13948,701;14404,994;15513,679;17086,441;18199,32;19034,766;20000,968;21375,999;22814,077;23847,977;24302,776;25392,931;26364,192;27674,021;28671,48;29946,973;31440,087;32833,666;34494,539;36317,741;37101,103;37971,28;39411,546;41629,858;44025,56;46213,508;47869,24;48283,413;47007,674;48400,641;49815,52;51537,005;53031,952;54952,396;56718,321;57814,534;59792,013;62517,53;65061,593;67082,203;69074,333;70956,327;72861,262
Uruguay;3810,865;4224,261;3431,162;1871,395;1768,228;1716,873;2119,542;2637,021;2712,191;2842,578;3289,118;3940,854;4501,823;5213,029;6015,243;6601,537;6974,809;7295,989;7667,105;7193,466;6817,363;6238,214;4073,418;3614,627;4102,584;5189,889;5842,813;6984,815;9029,327;9372,485;11859,898;14054,33;14961,681;16723,447;16572,362;15365,956;15139,12;16941,557;17379,655;17874,708;18861,596;19891,773;20936,742;22047,495
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;167,182;252,628;292,767;448,141;601,938;616,087;616,92;693,233;560,171;468,77;384,496;398,579;466,855;549,953;658,472;836,697;1090,87;1223,545;1392,324;1577,497;1753,465;1923,722;2069,76;2143,294;2124,128;1520,097;1326,002;1560,452;1660,007;1745,905;1835,374;1930,971
Vanuatu;1053,849;956,137;930,89;931,689;1111,403;976,747;918,675;989,126;1092,048;1054,904;1141,043;1333,385;1357,696;1277,011;1422,849;1479,565;1511,705;1537,62;1441,112;1435,664;1424,567;1320,599;1314,46;1538,104;1745,051;1845,775;2007,23;2350,978;2653,996;2606,785;2923,25;3230,035;3115,769;3123,977;3103,891;2880,948;2904,821;3093,995;3327,748;3480,419;3620,61;3766,449;3918,162;4075,985
Venezuela;4671,078;5085,58;5041,589;4883,234;3447,45;3472,186;3488,564;2619,24;3292,792;2378,158;2492,939;2685,293;2968,496;2876,077;2741,979;3559,77;3174,631;3777,785;3973,415;4121,578;4823,961;4965,408;3790,656;3265,553;4309,504;5418,439;6609,949;8133,306;10464,263;8442,837;10316,832;11541,876;11287,303;7869,442;7029,892;7922,808;7687,671;6890,066;3300,357;3100,112;2998,505;2870,801;2765,665;2514,259
Vietnam;513,965;250,859;326,329;482,44;822,549;251,202;556,019;674,88;365,892;97,158;98,032;113,654;144,149;189,261;230,314;288,874;337,524;361,908;360,925;374,722;401,567;413,342;440,209;489,034;603,668;699,682;796,928;920,463;1154,493;1181,448;1297,226;1532,311;1750,756;1898,898;2047,429;2085,714;2172,012;2353,356;2552,829;2788,005;3030,62;3275,661;3532,262;3797,285
Yemen;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1046,183;1158,438;1351,436;1558,429;1919,182;840,832;411,266;418,526;374,911;439,292;539,641;532,421;560,031;597,771;682,148;797,704;881,648;971,326;1171,169;1060,926;1266,787;1302,302;1367,715;1515,946;1574,246;1612,011;1250,736;1043,055;925,618;1084,425;1233,81;1272,154;1311,177;1354,353
Zambia;718,795;718,743;672,013;562,441;448,532;412,851;276,151;332,268;543,316;561,832;509,752;446,778;424,949;405,587;405,544;410,542;378,71;440,701;352,627;330,283;340,164;376,986;376,468;429,01;530,54;691,785;1030,282;1103,452;1365,692;1134,758;1456,162;1635,505;1724,711;1839,537;1727,026;1310,354;1252,698;1491,217;1450,409;1425,556;1451,11;1494,241;1547,461;1607,876
Zimbabwe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;897,213;810,42;648,024;608,025;618,059;620,707;735,645;762,778;890,867;868,909;839,47;834,499;798,834;711,924;698,443;661,858;586,767;559,654;478,997;684,121;815,791;968,876;1076,343;1133,569;1149,243;1137,067;1111,443;1185,343;1268,932;1381,354;1497,652;1612,494;1733,965;1843,403
Africa (Region);no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1016,672;904,658;874,779;856,709;819,877;951,595;1037,742;1052,702;1041,033;833,735;839,546;793,891;788,858;921,296;1079,889;1242,084;1403,871;1600,237;1824,698;1692,256;1938,289;2105,549;2188,539;2208,845;2230,226;1984,673;1834,727;1812,925;1888,227;1985,628;2099,072;2195,495;2308,165;2438,609
Asia and Pacific;957,198;1005,628;959,543;1001,229;1041,823;1045,599;1302,671;1518,253;1783,523;1823,555;1868,982;2025,582;2137,563;2368,894;2527,379;2830,598;2722,428;2583,897;2277,456;2499,504;2639,928;2432,546;2454,774;2707,988;3020,637;3230,811;3423,705;3874,407;4342,855;4424,88;5117,862;5818,722;6120,229;6146,878;6307,595;6212,243;6364,638;6685,489;7092,483;7357,396;7849,502;8337,959;8849,948;9390,571
Australia and New Zealand;10327,925;11633,505;11374,343;10792,6;11590,267;10259,394;10733,654;12663,391;15773,011;17312,849;17926,869;17576,838;17006,542;16584,559;18821,323;20173,948;22297,229;22162,117;19403,112;20627,981;19686,18;18438,521;20608,217;26031,036;31345,875;34606,396;35837,603;42813,596;46188,924;42720,994;52545,502;62346,286;63666,494;61310,894;58691,203;49199,824;49773,469;53382,924;54220,458;54699,897;56750,474;58618,652;60803,834;63141,87
Caribbean;1486,415;1611,239;1674,698;1652,856;1938,36;1430,176;1406,366;1389,894;1345,414;1443,863;1485,999;1551,72;1609,634;1686,628;1838,332;2106,325;2250,261;2407,256;2554,931;2655,953;2814,463;2868,165;2961,867;2754,973;2944,126;3740,74;3986,928;4485,929;4940,764;4419,655;4765,402;5107,683;5199,69;5282,628;5398,986;5392,204;5402,89;5560,885;5823,29;6041,045;6286,341;6547,852;6817,491;7105,218
Central America;1189,881;1108,212;1114,007;1140,5;1143,303;1230,903;1037,02;1081,124;1093,855;1186,204;1108,257;1245,641;1380,416;1481,54;1481,083;1602,705;1664,798;1774,543;1883,884;1870,92;1930,441;1998,658;2063,002;2123,372;2251,984;2430,586;2652,585;2978,525;3326,863;3293,563;3604,672;4056,792;4351,179;4575,871;4797,693;5053,754;5256,502;5483,267;5649,183;5876,195;6149,739;6422,365;6708,403;7011,991
Central Asia and the Caucasus;2168,666;2148,836;1901,376;1712,832;1627,694;1787,257;1928,024;2192,708;2346,711;2730,183;3747,082;no data;1897,991;2195,907;1629,328;2126,537;2294,03;2382,575;2472,037;2277,428;2385,248;no data;1874,902;2376,105;3035,976;3734,231;4228,492;5197,315;5951,278;5048,673;5972,351;6611,87;6920,27;7441,538;7220,58;6356,603;5972,764;5880,241;5288,974;4973,815;5574,89;6141,658;6517,453;6812,79
East Asia;1327,899;1408,144;1319,428;1419,184;1486,455;1535,077;2072,417;2468,7;2973,259;3019,495;3032,877;3401,209;3714,247;4207,118;4523,142;5077,575;4737,677;4462,12;4058,965;4524,568;4867,726;4487,492;4478,36;4853,832;5350,007;5622,802;5844,913;6426,061;7341,064;7684,146;8731,579;10028,371;10713,035;10748,574;11163,473;11252,409;11568,12;12078,388;13148,454;13687,633;14614,188;15548,98;16556,807;17651,217
Eastern Europe ;1903,423;2004,421;2154,534;2158,636;2048,031;2043,069;2123,469;2144,49;2458,833;no data;no data;no data;1031,816;1450,406;1903,432;2341,399;2707,785;2774,855;2432,463;2098,413;2297,969;2612,967;2969,077;3641,518;4655,611;5721,692;6957,585;9017,14;11303,647;8852,278;10005,875;11858,162;12092,025;12657,421;12026,142;9053,697;8883,274;10355,471;10880,401;11445,147;12038,857;12638,752;13281,033;14007,619
Europe;8958,229;8026,803;7748,454;7528,989;7215,73;7457,578;10021,379;12278,75;13692,599;no data;no data;no data;13243,165;12139,519;13041,844;14772,345;15128,475;14217,322;14455,048;14310,174;13456,723;13673,087;14963,64;18163,261;21066,698;22302,343;24053,864;28007,342;30730,89;26921,128;27287,049;29967,961;28665,902;29810,891;30330,226;25972,843;25893,226;27426,889;29453,571;30100,045;31491,011;32760,214;34192,681;35601,193
Middle East (Region);5495,294;5793,442;5447,809;5302,282;5061,126;4910,141;4801,645;5622,668;5835,452;6381,341;7791,263;5388,083;3366,474;3482,922;3757,508;4110,294;4617,818;4886,365;4750,639;5397,584;6526,549;6103,873;4684,697;4491,931;5272,797;6276,963;7205,39;8298,337;10044,184;8663,798;9993,473;12945,82;12584,723;12832,369;12745,554;10836,83;10640,88;11209,376;12057,454;11931,649;12149,69;12372,361;12660,175;12980,769
North Africa;1548,108;1443,552;1455,732;1484,135;1496,116;1612,775;1624,698;1831,645;1882,17;2070,64;2054,792;1519,738;1512,939;1486,743;1452,467;1570,986;1709,586;1727,415;1746,463;1816,567;1877,948;1806,644;1637,645;1789,406;1985,87;2269,241;2551,115;2960,794;3511,535;3256,499;3652,75;3767,14;4180,435;4046,7;3962,748;3650,474;3581,73;3086,809;3325,866;3640,263;3889,534;4020,233;4171,24;4406,62
North America;10396,844;11622,226;11670,623;12358,316;13540,488;14325,575;14698,827;15508,316;16715,931;17918,63;18676,6;19137,117;19933,713;20764,258;21680,179;21952,876;22968,964;24228,763;25161,045;26546,009;28167,741;28769,878;29395,108;30532,406;32407,662;34527,096;36496,998;38051,008;38557,249;36753,556;38471,486;39968,665;41144,164;42239,664;43422,398;43722,73;44132,548;45761,041;47748,636;49619,923;51243,075;52853,264;54425,499;56025,339
Pacific Islands ;1418,474;1374,754;1283,339;1233,172;1160,707;1059,642;1132,208;1207,198;1492,819;1424,982;1316,837;1467,546;1576,7;1721,965;1863,501;1701,017;1777,878;1679,833;1294,442;1236,87;1178,099;1052,182;1048,995;1245,265;1395,234;1563,862;1686,656;1873,99;2153,661;2013,636;2296,354;2738,201;3010,713;2978,844;3138,833;2815,446;2629,217;2716,218;2810,571;2881,251;2946,769;3043,442;3143,61;3249,06
South America;2406,401;2367,352;1970;1806,664;1731,981;1879,83;2079,748;2164,853;2365,773;2551,088;2754,352;2771,043;2908,823;3088,136;3619,186;4512,391;4678,502;4903,671;4772,914;3790,012;3948,337;3577,899;2789,744;2965,315;3552,137;4480,901;5380,234;6585,846;7898,541;7488,073;9531,813;11143,444;10993,654;10869,02;10529,636;8799,185;8470,824;9386,787;8510,637;8431,547;8813,705;9187,234;9583,29;9995,101
South Asia;284,819;292,758;295,944;308,03;302,034;318,628;329,636;357,416;374,249;371,814;390,652;345,129;357,505;347,687;386,49;420,507;444,973;457,449;454,423;477,566;475,017;477,567;493,872;566,821;646,815;728,107;814,698;1016,545;1017,777;1101,135;1325,737;1414,984;1414,118;1432,883;1548,784;1597,437;1697,853;1901,312;1946,76;2086,336;2262,364;2449,599;2648,137;2862,325
Southeast Asia;751,213;752,381;780,48;778,271;852,702;731,603;729,122;767,844;798,076;844,539;942,143;1039,039;1159,088;1277,162;1433,327;1638,319;1786,599;1665,575;1011,628;1175,047;1235,821;1170,121;1289,392;1435,857;1595,295;1756,854;2079,334;2452,236;2825,446;2749,117;3367,873;3849,976;4016,074;4099,923;4076,864;3906,188;4035,76;4287,35;4440,529;4675,965;5004,33;5302,757;5620,684;5957,161
Sub-Saharan Africa (Region) ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;778,091;764,449;731,387;716,317;679,93;815,286;890,931;906,361;889,152;623,833;619,858;581,631;612,573;743,394;895,909;1035,361;1175,12;1331,68;1493,975;1387,613;1606,303;1786,887;1809,016;1860,19;1903,679;1672,175;1510,722;1575,237;1621,739;1681,069;1771,784;1864,32;1972,525;2086,684
Western Europe;10509,793;9355,283;8987,78;8726,695;8373,297;8674,18;11799,698;14563,96;16221,203;16429,883;20257,192;21423,32;23185,099;20990,81;22214,032;25402,715;25816,844;24236,658;24921,671;24878,557;23049,969;23101,192;25078,926;30292,218;34653,236;35893,505;37951,449;43316,68;46252,685;41270,306;40931,584;44175,785;41609,247;43150,457;44389,961;38896,437;38809,151;40326,776;43446,571;44093,144;46019,268;47723,845;49677,675;51521,103
Western Hemisphere (Region);6674,265;7299,56;7146,374;7427,047;8009,626;8457,513;8705,813;9144,108;9836,739;10526,724;10975,016;11211,047;11673,789;12168,057;12780,994;13285,616;13836,245;14567,678;14978,754;15253,81;16127,015;16256,716;16224,912;16849,083;18031,018;19500,319;20869,95;22176,896;23003,048;21893,361;23623,557;25066,906;25584,578;26067,974;26505,087;25904,89;25963,627;27170,699;27809,466;28725,185;29715,474;30675,899;31628,74;32603,11
ASEAN-5;719,477;717,088;742,186;731,697;801,55;667,869;690,357;725,541;747,144;782,512;863,378;945,978;1054,334;1159,415;1292,832;1473,155;1612,197;1481,873;931,055;1113,659;1161,293;1109,624;1242,057;1389,756;1533,164;1683,247;2000,286;2348,599;2722,611;2642,842;3242,52;3689,45;3853,984;3931,036;3889,786;3731,993;3869,122;4125,457;4249,131;4490,86;4823,609;5119,338;5434,788;5770,859
Advanced economies;10269,24;10352,139;10212,549;10560,479;10982,849;11499,496;13952,314;16125,946;18098,288;18748,801;20872,82;22091,087;23449,377;23263,494;24811,312;26890,104;26914,273;26245,358;26190,371;27408,882;27704,411;27238,429;28260,577;31502,947;34727,635;36327,225;37955,951;41181,345;43177,091;40516,488;42053,817;44887,091;44516,408;44700,106;45529,837;42874,832;43766,211;45378,253;47978,537;49395,817;51303,816;53109,105;55063,151;56996,469
Commonwealth of Independent States;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;495,449;951,479;1349,967;1517,718;1888,233;1972,842;1437,899;1090,554;1343,902;1567,617;1759,705;2175,764;2952,637;3826,95;4962,234;6510,567;8286,4;6208,162;7605,627;9414,497;10116,496;10589,722;9641,891;6674,645;6124,924;7254,223;7385,628;7757,353;7987,347;8235,927;8506,719;8876,448
Emerging and Developing Asia;359,287;351,015;350,891;364,287;373,774;359,827;359,769;385,71;425,56;446,84;441,654;437,587;487,447;543,659;558,152;657,362;733,135;750,604;675,764;732,781;776,323;808,719;876,402;989,417;1134,367;1296,027;1521,508;1907,386;2275,081;2448,24;2921,499;3448,676;3764,405;4073,982;4357,918;4518,952;4559,08;4889,222;5307,61;5586,333;6043,377;6500,795;6978,642;7491,416
Emerging and Developing Europe;1997,982;2056,423;2062,199;1990,753;1887,987;1944,589;2047,401;2163,464;2415,194;2517,611;2615,522;2533,953;2635,408;2873,631;2595,596;3318,912;3457,039;3494,536;3714,843;3475,212;3535,92;3303,624;3762,603;4623,215;5702,882;6811,547;7562,331;9434,297;11106,829;9290,474;10135,544;11025,827;10805,505;11550,307;11611,044;10366,453;10438,794;10913,892;10607,969;10421,489;11525,571;12583,785;13453,218;14214,908
Emerging market and developing economies;866,012;886,646;821,545;791,786;778,288;776,787;777,898;841,674;911,852;978,473;1258,062;1150,288;944,338;1050,004;1116,263;1263,952;1387,081;1449,558;1363,973;1301,899;1405,849;1392,998;1360,514;1508,883;1771,793;2091,873;2444,468;2971,995;3521,025;3318,129;3938,231;4593,062;4793,558;5019,124;5115,681;4777,379;4694,772;5025,155;5241,87;5413,234;5766,591;6114,979;6475,775;6861,65
Euro area;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;19655,46;21583,334;19523,361;20556,726;24203,176;24516,052;21959,818;22304,242;22301,973;20272,699;20492,212;22258,789;27276,488;31097,529;32117,428;33918,289;38919,574;42595,085;38711,215;37805,046;40779,169;37754,724;39302,077;40058,041;34519,854;35193,938;37078,391;40237,117;41027,258;42995,51;44713,32;46628,567;48418,442
European Union;8799,014;7865,608;7577,679;7357,727;7046,781;7286,925;9795,446;12001,554;13410,856;13599,591;16579,843;17556,318;18726,283;16770,486;17790,719;19957,246;20369,405;19221,586;19864,148;19811,95;18397,517;18539,494;20209,807;24488,97;28145,972;29329,927;31162,309;35893,659;38647,546;34344,658;34010,513;36626,899;34429,169;35807,144;36967,148;32428,147;32505,754;33993,617;36736,21;37417,275;39198,902;40804,458;42618,475;44346,296
Latin America and the Caribbean;2473,283;2616,681;2101,673;1868,943;1903,401;2009,98;1952,909;2042,683;2263,655;2499,162;2719,872;2863,767;3082,17;3417,08;3808,4;4061,725;4283,368;4624,249;4587,368;4050,573;4367,758;4197,175;3675,396;3690,655;4192,472;5035,389;5837,685;6825,802;7845,813;7142,32;8831,829;10168,301;10101,179;10134,827;9966,354;8543,148;8162,711;8909,781;8394,884;8417,305;8790,747;9165,656;9561,961;9975,245
Major advanced economies (G7);11235,019;11509,669;11394,758;11958,869;12522,353;13206,373;15880,346;18147,437;20279,429;20905,289;22927,704;24342,342;25928,38;26242,71;27880,754;30212,925;29982,245;29429,271;29650,748;31062,987;31613,299;31049,955;31859,151;34960,54;38168,271;39632,781;41101,718;43892,856;45709,52;43331,65;44734,085;47289,26;47308,042;47112,57;48047,455;45941,649;46956,537;48294,476;50912,267;52510,485;54411,538;56236,336;58180,865;60111,152
Middle East and North Africa;2942,687;2999,923;2855,753;2816,198;2745,492;2747,982;2700,238;3147,152;3219,956;3583,24;4229,097;2883,214;1948,578;2001,136;2083,258;2265,646;2541,169;2673,025;2627,235;2963,121;3477,269;3274,633;2588,721;2708,606;3185,38;3829,314;4434,083;5151,182;6217,551;5408,329;6225,155;7629,534;7572,74;7575,239;7517,366;6460,581;6283,182;6263,765;6738,719;6794,266;6972,654;7104,405;7271,545;7488,624
Middle East, North Africa, Afghanistan, and Pakistan;2133,742;2193,055;2104,367;2065,535;2027,577;2028,65;1997,881;2309,117;2377,728;2631,962;3116,032;2188,837;1532,339;1573,614;1627,564;1776,01;1970,105;2052,587;2014,034;2243,327;2588,233;2435,688;1877,883;2010,097;2358,836;2815,906;3257,678;3769,907;4502,232;3947,239;4511,21;5404,25;5386,302;5391,56;5374,096;4707,015;4590,86;4615,906;4927,101;4946,783;5097,036;5215,014;5355,687;5531,005
Other advanced economies;6817,514;6864,753;6728,506;6635,893;6884,012;6797,113;8205,525;9999,896;11663,555;12554,569;14296,067;15002,38;15830,889;15454,187;17177,607;18571,173;19608,683;18840,177;16875,5;17941,237;18359,435;17616,85;19030,774;21789,869;24730,162;27090,336;29099,739;32984,065;34522,975;31432,102;35902,582;40717,829;40670,913;41696,192;42085,666;38314,241;38718,275;41234,567;43286,119;44257,735;46150,218;47952,774;50015,053;52108,623
Sub-Saharan Africa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;817,031;801,826;765,441;745,986;706,283;845,95;923,105;936,451;917,439;637,737;630,143;586,265;615,814;749,513;903,252;1038,752;1172,134;1319,472;1484,839;1388,076;1606,241;1778,543;1827,463;1877,885;1917,014;1671,745;1515,695;1595,049;1657,597;1719,666;1814,58;1911,941;2025,83;2146,664
World;2842,99;2856,621;2753,845;2778,836;2830,283;2908,017;3360,945;3803,147;4207,155;4350,719;4742,288;4842,526;4790,938;4840,368;5120,253;5614,78;5681,607;5583,91;5440,649;5558,364;5661,922;5549,25;5644,81;6233,877;6930,444;7419,247;7937,932;8849,907;9585,902;8972,595;9693,808;10655,595;10726,457;10903,268;11067,857;10351,965;10375,448;10848,702;11367,903;11672,816;12200,528;12705,556;13239,279;13791,216